Start 09:20, End 16:10, Lunch 13:00-13:30
Start 08:45, End 16:30, Lunch 13:00-13:30
Start 09:00, End 17:30, Lunch 13:30-15:00
Start 09:00, End 16:30, Lunch 13:00-13:30
Start 08:30, End 15:00, Lunch 13:00-13:30
Start 08:30, End 17:00, Lunch 13:30-14:00
Start 09:00, End 16:30, Lunch 12:00-13:00
Start 08:30, End 17:00, Lunch 13:45-15:15
Start 08:30, End 16:00, Lunch 13:00-13:30
Start 08:45, End 16:30, Lunch 13:00-13:30
Start 09:00, End 16:00, Lunch 13:10-13:40
Start 08:40, End 16:35, Lunch 13:00-13:30
Start 08:30, End 17:10, Lunch 13:45-15:15
Start 08:30, End 16:20, Lunch 13:00-13:30
Start 09:05, End 16:35, Lunch 13:33-14:03
Start 08:30, End 16:05, Lunch 13:20-13:50
Start 09:00, End 16:45, Lunch 12:15-12:45
Start 08:30, End 17:00, Lunch 13:30-15:00
Start 08:25, End 16:00, Lunch 13:00-13:30
Start 09:00, End 16:40, Lunch 13:35-14:05
Start 08:30, End 16:15, Lunch 13:00-13:30
Start 08:45, End 16:30, Lunch 13:00-13:30
Start 08:30, End 17:05, Lunch 13:30-15:00
Start 08:30, End 16:00, Lunch 13:00-13:30
Start 09:00, End 16:30, Lunch 13:45-14:05
Start 08:30, End 16:00, Lunch 13:00-13:30
Start 08:45, End 16:30, Lunch 13:00-13:30
Start 08:30, End 17:00, Lunch 13:30-15:00
Start 08:50, End 16:30, Lunch 13:30-13:50
Start 08:30, End 16:00, Lunch 13:00-13:30
Start 09:00, End 16:30, Lunch 13:30-14:00
Start 08:30, End 17:00, Lunch 13:30-15:00
Start 08:40, End 16:20, Lunch 13:00-13:30
Start 09:25, End 17:05, Lunch 13:30-14:00
Start 08:30, End 16:15, Lunch 13:10-13:45
Start 08:50, End 16:30, Lunch 13:05-13:45
Start 08:40, End 17:10, Lunch 13:00-14:30
Start 08:30, End 15:30, Lunch 13:00-13:30
Start 08:40, End 16:20, Lunch 13:00-13:40
Start 08:30, End 17:30, Lunch 12:00-15:15
